id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e390b60a5cd0,0,06,87,145,305,232,218
5e390b60a5cd0,6,63,73,278,473,351,400
5e390b60a5cd0,3,36,122,314,522,436,400
5e390b60a5cd0,6,60,86,96,251,182,165
5e390b60a5cd0,0,06,69,81,203,150,134
5e390b60a5cd0,6,60,53,38,153,91,100
5e390b60a5cd0,0,00,62,564,683,626,621
5e390b60a5cd0,0,0meta1,57,44682,44853,44739,44796
5e390b60a5cd0,meta1,meta10,114,253,464,367,350
5e390b60a5cd0,0,06,97,451,634,548,537
5e390b60a5cd0,6,62,86,281,468,367,382
5e390b60a5cd0,2,20,101,180,368,281,267
5e390b60a5cd0,0,06,87,313,471,400,384
5e390b60a5cd0,6,63,71,298,457,369,386
5e390b60a5cd0,3,36,88,344,520,432,432
5e390b60a5cd0,6,60,88,93,235,181,147
5e390b60a5cd0,0,06,54,40,171,94,117
5e390b60a5cd0,6,60,77,41,194,118,117
5e390b60a5cd0,0,0bksp,76,1170,1292,1246,1216
5e390b60a5cd0,bksp,bksp6,46,633,764,679,718
5e390b60a5cd0,6,60,85,210,367,295,282
5e390b60a5cd0,0,0meta1,72,52023,52178,52095,52106
5e390b60a5cd0,meta1,meta10,83,264,414,347,331
5e390b60a5cd0,0,06,67,416,551,483,484
5e390b60a5cd0,6,62,68,182,333,250,265
5e390b60a5cd0,2,20,83,230,383,313,300
5e390b60a5cd0,0,06,70,348,490,418,420
5e390b60a5cd0,6,63,72,298,457,370,385
5e390b60a5cd0,3,36,87,311,504,398,417
5e390b60a5cd0,6,60,106,112,304,218,198
5e390b60a5cd0,0,06,86,19,239,105,153
5e390b60a5cd0,6,60,134,2,195,136,61
5e390b60a5cd0,0,0meta1,59,61548,61685,61607,61626
5e390b60a5cd0,meta1,meta10,78,258,440,336,362
5e390b60a5cd0,0,06,104,665,823,769,719
5e390b60a5cd0,6,62,54,196,336,250,282
5e390b60a5cd0,2,20,86,247,440,333,354
5e390b60a5cd0,0,06,107,309,524,416,417
5e390b60a5cd0,6,63,108,211,437,319,329
5e390b60a5cd0,3,30,118,519,720,637,602
5e390b60a5cd0,0,06,83,34,197,117,114
5e390b60a5cd0,6,60,80,53,214,133,134
5e390b60a5cd0,0,0bksp,81,1763,1916,1844,1835
5e390b60a5cd0,bksp,bkspbksp,72,110,237,182,165
5e390b60a5cd0,bksp,bkspbksp,55,104,237,159,182
5e390b60a5cd0,bksp,bkspbksp,78,499,613,577,535
5e390b60a5cd0,bksp,bksp3,36,1395,1536,1431,1500
5e390b60a5cd0,3,36,105,328,524,433,419
5e390b60a5cd0,6,60,91,71,240,162,149
5e390b60a5cd0,0,06,78,71,225,149,147
5e390b60a5cd0,6,60,76,55,194,131,118
